"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
3,"Content Page",/change-address,212,"How to change your address",https://www.usa.gov/change-address,Home,"Housing help","How to change your address","How to change your address","How to change your address","How to change your address",/,/housing-help,/change-address,/change-address,/change-address,/change-address,https://www.usa.gov/es/cambiar-direccion-correo-postal,,"USAGov English"
3,"Content Page",/tenant-rights,213,"How to file a complaint against a landlord",https://www.usa.gov/tenant-rights,Home,"Housing help","Tenant rights","Tenant rights","Tenant rights","Tenant rights",/,/housing-help,/tenant-rights,/tenant-rights,/tenant-rights,/tenant-rights,https://www.usa.gov/es/derechos-inquilinos,,"USAGov English"
3,"Navigation Page",/rental-housing-programs,214,"Rental assistance",https://www.usa.gov/rental-housing-programs,Home,"Housing help","Rental assistance","Rental assistance","Rental assistance","Rental assistance",/,/housing-help,/rental-housing-programs,/rental-housing-programs,/rental-housing-programs,/rental-housing-programs,https://www.usa.gov/es/programas-ayuda-pagar-renta,,"USAGov English"
4,"Content Page",/home-ownership-voucher,215,"Homeownership vouchers for first-time homebuyers",https://www.usa.gov/home-ownership-voucher,Home,"Housing help","Home buying assistance","Homeownership vouchers","Homeownership vouchers","Homeownership vouchers",/,/housing-help,/buying-home-programs,/home-ownership-voucher,/home-ownership-voucher,/home-ownership-voucher,https://www.usa.gov/es/programas-gobierno-compra-vivienda,1,"USAGov English","Housing and utilities"
4,"Content Page",/government-home-loans,216,"Government-backed home loans and mortgage assistance",https://www.usa.gov/government-home-loans,Home,"Housing help","Home buying assistance","Home loans and mortgage assistance","Home loans and mortgage assistance","Home loans and mortgage assistance",/,/housing-help,/buying-home-programs,/government-home-loans,/government-home-loans,/government-home-loans,https://www.usa.gov/es/programas-asistencia-hipotecaria-gobierno,1,"USAGov English","Housing and utilities; Military and veterans"
3,"Navigation Page",/buying-home-programs,217,"Home buying assistance",https://www.usa.gov/buying-home-programs,Home,"Housing help","Home buying assistance","Home buying assistance","Home buying assistance","Home buying assistance",/,/housing-help,/buying-home-programs,/buying-home-programs,/buying-home-programs,/buying-home-programs,https://www.usa.gov/es/programas-gobierno-comprar-vivienda,,"USAGov English"
4,"Content Page",/home-repair-programs,218,"Government home repair assistance programs",https://www.usa.gov/home-repair-programs,Home,"Housing help","Home repair and energy assistance","Home repair assistance","Home repair assistance","Home repair assistance",/,/housing-help,/repairing-home,/home-repair-programs,/home-repair-programs,/home-repair-programs,https://www.usa.gov/es/programas-reparar-viviendas,1,"USAGov English","Housing and utilities; Retirement and seniors"
4,"Content Page",/weatherization-energy-programs,219,"Home weatherization and energy efficiency assistance",https://www.usa.gov/weatherization-energy-programs,Home,"Housing help","Home repair and energy assistance","Weatherization and energy efficiency","Weatherization and energy efficiency","Weatherization and energy efficiency",/,/housing-help,/repairing-home,/weatherization-energy-programs,/weatherization-energy-programs,/weatherization-energy-programs,https://www.usa.gov/es/programas-climatizacion,1,"USAGov English","Housing and utilities"
3,"Navigation Page",/repairing-home,220,"Home repair and energy efficiency assistance",https://www.usa.gov/repairing-home,Home,"Housing help","Home repair and energy assistance","Home repair and energy assistance","Home repair and energy assistance","Home repair and energy assistance",/,/housing-help,/repairing-home,/repairing-home,/repairing-home,/repairing-home,https://www.usa.gov/es/reparacion-y-eficiencia-energetica-vivienda,,"USAGov English"
4,"Content Page",/avoid-eviction,221,"Avoid eviction",https://www.usa.gov/avoid-eviction,Home,"Housing help","Eviction and foreclosure","Avoid eviction","Avoid eviction","Avoid eviction",/,/housing-help,/eviction-and-foreclosure,/avoid-eviction,/avoid-eviction,/avoid-eviction,https://www.usa.gov/es/evitar-desalojo-de-vivienda,,"USAGov English"
4,"Content Page",/avoid-foreclosure,222,"Avoid foreclosure",https://www.usa.gov/avoid-foreclosure,Home,"Housing help","Eviction and foreclosure","Avoid foreclosure","Avoid foreclosure","Avoid foreclosure",/,/housing-help,/eviction-and-foreclosure,/avoid-foreclosure,/avoid-foreclosure,/avoid-foreclosure,https://www.usa.gov/es/ejecucion-hipotecaria,1,"USAGov English","Housing and utilities"
3,"Navigation Page",/eviction-and-foreclosure,223,"Eviction and foreclosure",https://www.usa.gov/eviction-and-foreclosure,Home,"Housing help","Eviction and foreclosure","Eviction and foreclosure","Eviction and foreclosure","Eviction and foreclosure",/,/housing-help,/eviction-and-foreclosure,/eviction-and-foreclosure,/eviction-and-foreclosure,/eviction-and-foreclosure,https://www.usa.gov/es/ejecucion-hipotecaria,,"USAGov English"
4,"Content Page",/emergency-housing,224,"Get emergency housing",https://www.usa.gov/emergency-housing,Home,"Housing help","Emergency housing assistance","Find emergency housing","Find emergency housing","Find emergency housing",/,/housing-help,/emergency-housing-assistance,/emergency-housing,/emergency-housing,/emergency-housing,https://www.usa.gov/es/vivienda-personas-sin-hogar,1,"USAGov English","Children and families; Housing and utilities; Military and veterans"
4,"Content Page",/emergency-pay-rent,225,"Get emergency rent assistance",https://www.usa.gov/emergency-pay-rent,Home,"Housing help","Emergency housing assistance","Help paying your rent","Help paying your rent","Help paying your rent",/,/housing-help,/emergency-housing-assistance,/emergency-pay-rent,/emergency-pay-rent,/emergency-pay-rent,https://www.usa.gov/es/ayuda-emergencia-pagar-renta,1,"USAGov English","Housing and utilities"
3,"Navigation Page",/emergency-housing-assistance,226,"Emergency housing assistance",https://www.usa.gov/emergency-housing-assistance,Home,"Housing help","Emergency housing assistance","Emergency housing assistance","Emergency housing assistance","Emergency housing assistance",/,/housing-help,/emergency-housing-assistance,/emergency-housing-assistance,/emergency-housing-assistance,/emergency-housing-assistance,https://www.usa.gov/es/ayuda-emergencia-vivienda,,"USAGov English"
4,"Content Page",/write-in-candidates,227,"Write-in candidates for federal and state elections",https://www.usa.gov/write-in-candidates,Home,"Voting and elections","Decide who to vote for","Write-in candidates for federal and state elections","Write-in candidates for federal and state elections","Write-in candidates for federal and state elections",/,/voting-and-elections,/voter-research,/write-in-candidates,/write-in-candidates,/write-in-candidates,https://www.usa.gov/es/agregar-candidato-boleta-votacion,,"USAGov English"
4,"Content Page",/who-you-can-vote-for,228,"Use voter guides and sample ballots to learn about candidates",https://www.usa.gov/who-you-can-vote-for,Home,"Voting and elections","Decide who to vote for","Voter guides and sample ballots","Voter guides and sample ballots","Voter guides and sample ballots",/,/voting-and-elections,/voter-research,/who-you-can-vote-for,/who-you-can-vote-for,/who-you-can-vote-for,https://www.usa.gov/es/candidatos-guias-votar-boletas-muestra,,"USAGov English"
2,"Navigation Cards Page",/voting-and-elections,229,"Voting and elections",https://www.usa.gov/voting-and-elections,Home,"Voting and elections","Voting and elections","Voting and elections","Voting and elections","Voting and elections",/,/voting-and-elections,/voting-and-elections,/voting-and-elections,/voting-and-elections,/voting-and-elections,https://www.usa.gov/es/votaciones-y-elecciones,,"USAGov English"
3,"Navigation Page",/voter-research,230,"Decide who to vote for",https://www.usa.gov/voter-research,Home,"Voting and elections","Decide who to vote for","Decide who to vote for","Decide who to vote for","Decide who to vote for",/,/voting-and-elections,/voter-research,/voter-research,/voter-research,/voter-research,https://www.usa.gov/es/informacion-sobre-candidatos,,"USAGov English"
3,"Content Page",/inauguration,231,"Inauguration of the president of the United States",https://www.usa.gov/inauguration,Home,"Voting and elections","Inauguration of the president","Inauguration of the president","Inauguration of the president","Inauguration of the president",/,/voting-and-elections,/inauguration,/inauguration,/inauguration,/inauguration,https://www.usa.gov/es/dia-inuguracion-presidencial,,"USAGov English"
3,"Content Page",/election-results,232,"Find results from past elections",https://www.usa.gov/election-results,Home,"Voting and elections","Results of past elections","Results of past elections","Results of past elections","Results of past elections",/,/voting-and-elections,/election-results,/election-results,/election-results,/election-results,https://www.usa.gov/es/resultados-elecciones-estados-unidos,,"USAGov English"
4,"Content Page",/es/ano-nuevo,233,"Día de Año Nuevo",https://www.usa.gov/es/ano-nuevo,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de Año Nuevo","Día de Año Nuevo","Día de Año Nuevo",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/ano-nuevo,/es/ano-nuevo,/es/ano-nuevo,None,,"USAGov en Español"
4,"Content Page",/es/dia-martin-luther-king,234,"Día de Martin Luther King, Jr.",https://www.usa.gov/es/dia-martin-luther-king,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de Martin Luther King, Jr.","Día de Martin Luther King, Jr.","Día de Martin Luther King, Jr.",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-martin-luther-king,/es/dia-martin-luther-king,/es/dia-martin-luther-king,None,,"USAGov en Español"
4,"Content Page",/es/dia-presidentes,235,"Día de los Presidentes",https://www.usa.gov/es/dia-presidentes,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de los Presidentes","Día de los Presidentes","Día de los Presidentes",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-presidentes,/es/dia-presidentes,/es/dia-presidentes,None,,"USAGov en Español"
4,"Content Page",/es/dia-conmemoracion-caidos,236,"Día de la Conmemoración de los Caídos",https://www.usa.gov/es/dia-conmemoracion-caidos,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de la Conmemoración de los Caídos","Día de la Conmemoración de los Caídos","Día de la Conmemoración de los Caídos",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-conmemoracion-caidos,/es/dia-conmemoracion-caidos,/es/dia-conmemoracion-caidos,None,,"USAGov en Español"
4,"Content Page",/es/juneteenth,237,"""Juneteenth""",https://www.usa.gov/es/juneteenth,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales",&quot;Juneteenth&quot;,&quot;Juneteenth&quot;,&quot;Juneteenth&quot;,/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/juneteenth,/es/juneteenth,/es/juneteenth,None,,"USAGov en Español"
4,"Content Page",/es/dia-independencia-estados-unidos,238,"Día de la Independencia",https://www.usa.gov/es/dia-independencia-estados-unidos,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de la Independencia","Día de la Independencia","Día de la Independencia",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-independencia-estados-unidos,/es/dia-independencia-estados-unidos,/es/dia-independencia-estados-unidos,None,,"USAGov en Español"
4,"Content Page",/es/dia-del-trabajo,239,"Día del Trabajo",https://www.usa.gov/es/dia-del-trabajo,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día del Trabajo","Día del Trabajo","Día del Trabajo",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-del-trabajo,/es/dia-del-trabajo,/es/dia-del-trabajo,None,,"USAGov en Español"
4,"Content Page",/es/dia-de-la-raza,240,"Día de la Raza",https://www.usa.gov/es/dia-de-la-raza,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de la Raza","Día de la Raza","Día de la Raza",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-de-la-raza,/es/dia-de-la-raza,/es/dia-de-la-raza,None,,"USAGov en Español"
4,"Content Page",/es/dia-de-los-veteranos,241,"Día de los Veteranos",https://www.usa.gov/es/dia-de-los-veteranos,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de los Veteranos","Día de los Veteranos","Día de los Veteranos",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-de-los-veteranos,/es/dia-de-los-veteranos,/es/dia-de-los-veteranos,None,,"USAGov en Español"
4,"Content Page",/es/dia-accion-gracias,242,"Día de Acción de Gracias",https://www.usa.gov/es/dia-accion-gracias,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de Acción de Gracias","Día de Acción de Gracias","Día de Acción de Gracias",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dia-accion-gracias,/es/dia-accion-gracias,/es/dia-accion-gracias,None,,"USAGov en Español"
4,"Content Page",/es/navidad,243,"Día de Navidad",https://www.usa.gov/es/navidad,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Día de Navidad","Día de Navidad","Día de Navidad",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/navidad,/es/navidad,/es/navidad,None,,"USAGov en Español"
3,"Navigation Page",/es/dias-festivos-estados-unidos,244,"Busque los días festivos federales",https://www.usa.gov/es/dias-festivos-estados-unidos,"Página principal","Acerca de EE. UU. y su Gobierno","Días festivos federales","Días festivos federales","Días festivos federales","Días festivos federales",/es/,/es/acerca-de-estados-unidos,/es/dias-festivos-estados-unidos,/es/dias-festivos-estados-unidos,/es/dias-festivos-estados-unidos,/es/dias-festivos-estados-unidos,https://www.usa.gov/holidays,,"USAGov en Español"
4,"Content Page",/absentee-voting,245,"Absentee voting and voting by mail",https://www.usa.gov/absentee-voting,Home,"Voting and elections","How, when, and where to vote","Absentee voting or voting by mail","Absentee voting or voting by mail","Absentee voting or voting by mail",/,/voting-and-elections,/how-to-vote,/absentee-voting,/absentee-voting,/absentee-voting,https://www.usa.gov/es/voto-ausente,,"USAGov English"
4,"Content Page",/voting-political-party,246,"Do you have to vote for the party you are registered with?",https://www.usa.gov/voting-political-party,Home,"Voting and elections","How, when, and where to vote","Do you have to vote for the party you&#039;re registered with?","Do you have to vote for the party you&#039;re registered with?","Do you have to vote for the party you&#039;re registered with?",/,/voting-and-elections,/how-to-vote,/voting-political-party,/voting-political-party,/voting-political-party,https://www.usa.gov/es/votar-partido-de-registro-electoral,,"USAGov English"
4,"Content Page",/who-can-vote,247,"Who can and cannot vote",https://www.usa.gov/who-can-vote,Home,"Voting and elections","How, when, and where to vote","Who can and cannot vote","Who can and cannot vote","Who can and cannot vote",/,/voting-and-elections,/how-to-vote,/who-can-vote,/who-can-vote,/who-can-vote,https://www.usa.gov/es/requisitos-votar,,"USAGov English"
4,"Content Page",/early-voting,248,"Early in-person voting",https://www.usa.gov/early-voting,Home,"Voting and elections","How, when, and where to vote","Early in-person voting","Early in-person voting","Early in-person voting",/,/voting-and-elections,/how-to-vote,/early-voting,/early-voting,/early-voting,https://www.usa.gov/es/voto-por-adelantado,,"USAGov English"
3,"Navigation Page",/how-to-vote,249,"How, when, and where to vote",https://www.usa.gov/how-to-vote,Home,"Voting and elections","How, when, and where to vote","How, when, and where to vote","How, when, and where to vote","How, when, and where to vote",/,/voting-and-elections,/how-to-vote,/how-to-vote,/how-to-vote,/how-to-vote,https://www.usa.gov/es/como-votar-en-estados-unidos,,"USAGov English"
5,"Content Page",/can-i-vote-online,250,"Can you vote online?",https://www.usa.gov/can-i-vote-online,Home,"Voting and elections","How, when, and where to vote","Voting on Election Day","Can you vote online?","Can you vote online?",/,/voting-and-elections,/how-to-vote,/election-day,/can-i-vote-online,/can-i-vote-online,https://www.usa.gov/es/votar-por-internet,,"USAGov English"
5,"Content Page",/voter-id,251,"Voter ID requirements",https://www.usa.gov/voter-id,Home,"Voting and elections","How, when, and where to vote","Voting on Election Day","Voter ID requirements","Voter ID requirements",/,/voting-and-elections,/how-to-vote,/election-day,/voter-id,/voter-id,https://www.usa.gov/es/identificacion-para-votar-eeuu,,"USAGov English"
5,"Content Page",/find-polling-place,252,"Find your polling place",https://www.usa.gov/find-polling-place,Home,"Voting and elections","How, when, and where to vote","Voting on Election Day","Find your polling place","Find your polling place",/,/voting-and-elections,/how-to-vote,/election-day,/find-polling-place,/find-polling-place,https://www.usa.gov/es/encontrar-centro-de-votacion,,"USAGov English"
4,"Navigation Page",/election-day,253,"Voting on Election Day",https://www.usa.gov/election-day,Home,"Voting and elections","How, when, and where to vote","Voting on Election Day","Voting on Election Day","Voting on Election Day",/,/voting-and-elections,/how-to-vote,/election-day,/election-day,/election-day,https://www.usa.gov/es/votar-dia-elecciones,,"USAGov English"
4,"Content Page",/is-voting-required,255,"Is voting mandatory in the U.S.?",https://www.usa.gov/is-voting-required,Home,"Voting and elections","Voting and election laws","Is voting mandatory?","Is voting mandatory?","Is voting mandatory?",/,/voting-and-elections,/voting-laws,/is-voting-required,/is-voting-required,/is-voting-required,https://www.usa.gov/es/no-es-obligatorio-votar,,"USAGov English"
4,"Content Page",/voter-fraud,256,"Voter fraud, voter suppression, and other election crimes",https://www.usa.gov/voter-fraud,Home,"Voting and elections","Voting and election laws","Voter fraud, suppression and other crimes","Voter fraud, suppression and other crimes","Voter fraud, suppression and other crimes",/,/voting-and-elections,/voting-laws,/voter-fraud,/voter-fraud,/voter-fraud,https://www.usa.gov/es/fraude-electoral-delitos-electorales,,"USAGov English"
4,"Content Page",/voting-rights,257,"Voting rights laws and constitutional amendments",https://www.usa.gov/voting-rights,Home,"Voting and elections","Voting and election laws","Voting rights laws","Voting rights laws","Voting rights laws",/,/voting-and-elections,/voting-laws,/voting-rights,/voting-rights,/voting-rights,https://www.usa.gov/es/leyes-derecho-a-votar,,"USAGov English"
4,"Content Page",/campaign-finance-laws,258,"Federal campaign finance laws",https://www.usa.gov/campaign-finance-laws,Home,"Voting and elections","Voting and election laws","Federal campaign finance laws","Federal campaign finance laws","Federal campaign finance laws",/,/voting-and-elections,/voting-laws,/campaign-finance-laws,/campaign-finance-laws,/campaign-finance-laws,https://www.usa.gov/es/leyes-federales-financiamiento-candidatos,,"USAGov English"
4,"Content Page",/voter-accessibility-laws,259,"Voter accessibility laws",https://www.usa.gov/voter-accessibility-laws,Home,"Voting and elections","Voting and election laws","Voter accessibility laws","Voter accessibility laws","Voter accessibility laws",/,/voting-and-elections,/voting-laws,/voter-accessibility-laws,/voter-accessibility-laws,/voter-accessibility-laws,https://www.usa.gov/es/leyes-de-accesibilidad-votantes,,"USAGov English"
3,"Navigation Page",/voting-laws,260,"Voting and election laws",https://www.usa.gov/voting-laws,Home,"Voting and elections","Voting and election laws","Voting and election laws","Voting and election laws","Voting and election laws",/,/voting-and-elections,/voting-laws,/voting-laws,/voting-laws,/voting-laws,https://www.usa.gov/es/leyes-votaciones,,"USAGov English"
4,"Content Page",/state-local-elections,261,"State and local elections",https://www.usa.gov/state-local-elections,Home,"Voting and elections","Congressional, state, and local elections","State and local elections","State and local elections","State and local elections",/,/voting-and-elections,/midterm-state-and-local-elections,/state-local-elections,/state-local-elections,/state-local-elections,https://www.usa.gov/es/elecciones-estatales-locales,,"USAGov English"
4,"Content Page",/midterm-elections,262,"Congressional elections and midterm elections",https://www.usa.gov/midterm-elections,Home,"Voting and elections","Congressional, state, and local elections","Congressional elections and midterm elections","Congressional elections and midterm elections","Congressional elections and midterm elections",/,/voting-and-elections,/midterm-state-and-local-elections,/midterm-elections,/midterm-elections,/midterm-elections,https://www.usa.gov/es/elecciones-legislativas-elecciones-mitad-del-mandato,,"USAGov English"
3,"Navigation Page",/midterm-state-and-local-elections,263,"Congressional, state, and local elections",https://www.usa.gov/midterm-state-and-local-elections,Home,"Voting and elections","Congressional, state, and local elections","Congressional, state, and local elections","Congressional, state, and local elections","Congressional, state, and local elections",/,/voting-and-elections,/midterm-state-and-local-elections,/midterm-state-and-local-elections,/midterm-state-and-local-elections,/midterm-state-and-local-elections,https://www.usa.gov/es/elecciones-legislativas-estatales-y-locales,,"USAGov English"
4,"Content Page",/presidential-election-process,264,"Overview of the presidential election process",https://www.usa.gov/presidential-election-process,Home,"Voting and elections","How the president is elected","Overview of the presidential election process","Overview of the presidential election process","Overview of the presidential election process",/,/voting-and-elections,/election,/presidential-election-process,/presidential-election-process,/presidential-election-process,https://www.usa.gov/es/proceso-eleccion-presidencial,,"USAGov English"
4,"Content Page",/requirements-for-presidential-candidates,265,"Constitutional requirements for presidential candidates",https://www.usa.gov/requirements-for-presidential-candidates,Home,"Voting and elections","How the president is elected","Requirements for presidential candidates","Requirements for presidential candidates","Requirements for presidential candidates",/,/voting-and-elections,/election,/requirements-for-presidential-candidates,/requirements-for-presidential-candidates,/requirements-for-presidential-candidates,https://www.usa.gov/es/requisitos-ser-candidato-presidencia-eeuu,,"USAGov English"
4,"Content Page",/primaries-caucuses,266,"Presidential primaries and caucuses",https://www.usa.gov/primaries-caucuses,Home,"Voting and elections","How the president is elected","Primaries and caucuses","Primaries and caucuses","Primaries and caucuses",/,/voting-and-elections,/election,/primaries-caucuses,/primaries-caucuses,/primaries-caucuses,https://www.usa.gov/es/elecciones-primarias-caucus,,"USAGov English"
4,"Content Page",/national-conventions,267,"National conventions",https://www.usa.gov/national-conventions,Home,"Voting and elections","How the president is elected","National conventions","National conventions","National conventions",/,/voting-and-elections,/election,/national-conventions,/national-conventions,/national-conventions,https://www.usa.gov/es/convenciones-nacionales,,"USAGov English"
4,"Content Page",/electoral-college,268,"Electoral College",https://www.usa.gov/electoral-college,Home,"Voting and elections","How the president is elected","Electoral College","Electoral College","Electoral College",/,/voting-and-elections,/election,/electoral-college,/electoral-college,/electoral-college,https://www.usa.gov/es/colegio-electoral,,"USAGov English"
3,"Navigation Page",/election,269,"How the president is elected",https://www.usa.gov/election,Home,"Voting and elections","How the president is elected","How the president is elected","How the president is elected","How the president is elected",/,/voting-and-elections,/election,/election,/election,/election,https://www.usa.gov/es/elecciones-presidenciales-estados-unidos,,"USAGov English"
4,"Content Page",/confirm-voter-registration,270,"How to confirm your voter registration status",https://www.usa.gov/confirm-voter-registration,Home,"Voting and elections","Voter registration","Confirm your voter registration","Confirm your voter registration","Confirm your voter registration",/,/voting-and-elections,/voter-registration,/confirm-voter-registration,/confirm-voter-registration,/confirm-voter-registration,https://www.usa.gov/es/averigue-si-esta-registrado-para-votar,,"USAGov English"
4,"Content Page",/voter-registration-card,271,"How to get a voter registration card",https://www.usa.gov/voter-registration-card,Home,"Voting and elections","Voter registration","Voter registration card","Voter registration card","Voter registration card",/,/voting-and-elections,/voter-registration,/voter-registration-card,/voter-registration-card,/voter-registration-card,https://www.usa.gov/es/solicitar-tarjeta-registro-electoral,,"USAGov English"
4,"Content Page",/register-to-vote,272,"How to register to vote",https://www.usa.gov/register-to-vote,Home,"Voting and elections","Voter registration","Register to vote","Register to vote","Register to vote",/,/voting-and-elections,/voter-registration,/register-to-vote,/register-to-vote,/register-to-vote,https://www.usa.gov/es/registro-inscripcion-votar,,"USAGov English"
4,"Content Page",/change-voter-registration,273,"How to update or change your voter registration",https://www.usa.gov/change-voter-registration,Home,"Voting and elections","Voter registration","Change your voter registration","Change your voter registration","Change your voter registration",/,/voting-and-elections,/voter-registration,/change-voter-registration,/change-voter-registration,/change-voter-registration,https://www.usa.gov/es/actualizar-registro-electoral,,"USAGov English"
4,"Content Page",/voter-registration-deadlines,274,"Voter registration deadlines",https://www.usa.gov/voter-registration-deadlines,Home,"Voting and elections","Voter registration","Voter registration deadlines","Voter registration deadlines","Voter registration deadlines",/,/voting-and-elections,/voter-registration,/voter-registration-deadlines,/voter-registration-deadlines,/voter-registration-deadlines,https://www.usa.gov/es/fechas-limite-registrarse-electoral,,"USAGov English"
3,"Navigation Page",/voter-registration,276,"Voter registration",https://www.usa.gov/voter-registration,Home,"Voting and elections","Voter registration","Voter registration","Voter registration","Voter registration",/,/voting-and-elections,/voter-registration,/voter-registration,/voter-registration,/voter-registration,https://www.usa.gov/es/registro-votar-estados-unidos,,"USAGov English"
3,"Content Page",/retirement-planning-tools,277,"Retirement planning tools",https://www.usa.gov/retirement-planning-tools,Home,"Jobs, labor laws and unemployment","Retirement planning tools","Retirement planning tools","Retirement planning tools","Retirement planning tools",/,/jobs-labor-laws-unemployment,/retirement-planning-tools,/retirement-planning-tools,/retirement-planning-tools,/retirement-planning-tools,https://www.usa.gov/es/herramientas-planear-jubilacion,,"USAGov English"
3,"Content Page",/unemployment-benefits,278,"Unemployment benefits",https://www.usa.gov/unemployment-benefits,Home,"Jobs, labor laws and unemployment","Unemployment benefits","Unemployment benefits","Unemployment benefits","Unemployment benefits",/,/jobs-labor-laws-unemployment,/unemployment-benefits,/unemployment-benefits,/unemployment-benefits,/unemployment-benefits,https://www.usa.gov/es/beneficios-desempleo,1,"USAGov English","Jobs and unemployment"
2,"Navigation Cards Page",/jobs-labor-laws-unemployment,279,"Jobs, labor laws, and unemployment",https://www.usa.gov/jobs-labor-laws-unemployment,Home,"Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment",/,/jobs-labor-laws-unemployment,/jobs-labor-laws-unemployment,/jobs-labor-laws-unemployment,/jobs-labor-laws-unemployment,/jobs-labor-laws-unemployment,https://www.usa.gov/es/trabajo-desempleo,,"USAGov English"
5,"Content Page",/family-leave-act,280,"The Family and Medical Leave Act (FMLA)",https://www.usa.gov/family-leave-act,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","The Family and Medical Leave Act for workers and employers","The Family and Medical Leave Act","The Family and Medical Leave Act",/,/jobs-labor-laws-unemployment,/labor-laws,/fmla,/family-leave-act,/family-leave-act,https://www.usa.gov/es/fmla-trabajadores,1,"USAGov English","Children and families; Disabilities; Health; Jobs and unemployment"
5,"Content Page",/employer-fmla,281,"Employer responsibilities under the FMLA",https://www.usa.gov/employer-fmla,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","The Family and Medical Leave Act for workers and employers","Employer responsibilities under the FMLA","Employer responsibilities under the FMLA",/,/jobs-labor-laws-unemployment,/labor-laws,/fmla,/employer-fmla,/employer-fmla,https://www.usa.gov/es/fmla-responsabilidades-empleador,,"USAGov English"
4,"Navigation Page",/fmla,282,"The Family and Medical Leave Act for workers and employers",https://www.usa.gov/fmla,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","The Family and Medical Leave Act for workers and employers","The Family and Medical Leave Act for workers and employers","The Family and Medical Leave Act for workers and employers",/,/jobs-labor-laws-unemployment,/labor-laws,/fmla,/fmla,/fmla,https://www.usa.gov/es/fmla-ley-ausencia-medica-familiar,,"USAGov English"
3,"Navigation Page",/labor-laws,283,"Labor laws and worker protection",https://www.usa.gov/labor-laws,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Labor laws and worker protection","Labor laws and worker protection","Labor laws and worker protection",/,/jobs-labor-laws-unemployment,/labor-laws,/labor-laws,/labor-laws,/labor-laws,https://www.usa.gov/es/proteccion-trabajador-leyes-laborales,,"USAGov English"
5,"Content Page",/minimum-wage,284,"Minimum wage",https://www.usa.gov/minimum-wage,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Minimum wage","Minimum wage",/,/jobs-labor-laws-unemployment,/labor-laws,/wage-laws,/minimum-wage,/minimum-wage,https://www.usa.gov/es/salario-minimo,,"USAGov English"
5,"Content Page",/job-misclassification,285,"Job misclassification",https://www.usa.gov/job-misclassification,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Job misclassification","Job misclassification",/,/jobs-labor-laws-unemployment,/labor-laws,/wage-laws,/job-misclassification,/job-misclassification,https://www.usa.gov/es/clasificacion-erronea-empleados,,"USAGov English"
5,"Content Page",/overtime-pay,286,"Overtime pay",https://www.usa.gov/overtime-pay,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Overtime pay","Overtime pay",/,/jobs-labor-laws-unemployment,/labor-laws,/wage-laws,/overtime-pay,/overtime-pay,https://www.usa.gov/es/pago-horas-extra,,"USAGov English"
