"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
2,"Navigation Cards Page",/money,34,"Money and credit",https://www.usa.gov/money,Home,"Money and credit","Money and credit","Money and credit","Money and credit","Money and credit",/,/money,/money,/money,/money,/money,https://www.usa.gov/es/dinero-credito,,"USAGov English"
3,"Navigation Page",/government-grants-and-loans,35,"Government grants and loans",https://www.usa.gov/government-grants-and-loans,Home,"Money and credit","Government grants and loans","Government grants and loans","Government grants and loans","Government grants and loans",/,/money,/government-grants-and-loans,/government-grants-and-loans,/government-grants-and-loans,/government-grants-and-loans,https://www.usa.gov/es/prestamos-y-subvenciones,,"USAGov English"
4,"Content Page",/no-free-money,36,"Avoid “free money” from the government scams",https://www.usa.gov/no-free-money,Home,"Money and credit","Government grants and loans","Avoid “free money” from the government scams","Avoid “free money” from the government scams","Avoid “free money” from the government scams",/,/money,/government-grants-and-loans,/no-free-money,/no-free-money,/no-free-money,https://www.usa.gov/es/gobierno-no-da-dinero-gratis,,"USAGov English"
4,"Content Page",/government-loan,38,"How to get a government loan or grant",https://www.usa.gov/government-loan,Home,"Money and credit","Government grants and loans","How to get a government loan or grant","How to get a government loan or grant","How to get a government loan or grant",/,/money,/government-grants-and-loans,/government-loan,/government-loan,/government-loan,https://www.usa.gov/es/prestamos-del-gobierno,,"USAGov English"
3,"Content Page",/unclaimed-money,39,"How to find unclaimed money from the government",https://www.usa.gov/unclaimed-money,Home,"Money and credit","Unclaimed money from the government","Unclaimed money from the government","Unclaimed money from the government","Unclaimed money from the government",/,/money,/unclaimed-money,/unclaimed-money,/unclaimed-money,/unclaimed-money,https://www.usa.gov/es/dinero-sin-reclamar,,"USAGov English"
4,"Content Page",/name-change,56,"How to change your name and what government agencies to notify",https://www.usa.gov/name-change,Home,"Laws and legal issues","Family legal issues","Agencies to notify of a name change","Agencies to notify of a name change","Agencies to notify of a name change",/,/laws-and-legal-issues,/family-legal-issues,/name-change,/name-change,/name-change,https://www.usa.gov/es/reportar-cambio-nombre,,"USAGov English"
2,"Navigation Cards Page",/about-the-us,57,"The U.S. and its government",https://www.usa.gov/about-the-us,Home,"The U.S. and its government","The U.S. and its government","The U.S. and its government","The U.S. and its government","The U.S. and its government",/,/about-the-us,/about-the-us,/about-the-us,/about-the-us,/about-the-us,https://www.usa.gov/es/acerca-de-estados-unidos,,"USAGov English"
2,"Navigation Cards Page",/scams-and-fraud,61,"Scams and fraud",https://www.usa.gov/scams-and-fraud,Home,"Scams and fraud","Scams and fraud","Scams and fraud","Scams and fraud","Scams and fraud",/,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,https://www.usa.gov/es/estafas-y-fraudes,,"USAGov English"
2,"Navigation Cards Page",/about,62,"About USAGov",https://www.usa.gov/about,Home,"About USAGov","About USAGov","About USAGov","About USAGov","About USAGov",/,/about,/about,/about,/about,/about,https://www.usa.gov/es/acerca-de-usagov-en-espanol,,"USAGov English"
4,"Content Page",/food-assistance,83,"Get food assistance with the WIC program",https://www.usa.gov/food-assistance,Home,"Government benefits","Food assistance","Food assistance with the WIC program","Food assistance with the WIC program","Food assistance with the WIC program",/,/benefits,/food-help,/food-assistance,/food-assistance,/food-assistance,https://www.usa.gov/es/wic-asistencia-mujeres-ninos-bebes,1,"USAGov English","Children and families; Food"
4,"Content Page",/welfare-benefits,84,"Welfare benefits or Temporary Assistance for Needy Families (TANF)",https://www.usa.gov/welfare-benefits,Home,"Government benefits","Welfare and financial assistance","Welfare (TANF)","Welfare (TANF)","Welfare (TANF)",/,/benefits,/welfare-and-financial-assistance,/welfare-benefits,/welfare-benefits,/welfare-benefits,https://www.usa.gov/es/tanf-asistencia-temporal,1,"USAGov English","Children and families; Welfare and cash assistance"
4,"Content Page",/food-stamps,87,"How to apply for food stamps (SNAP benefits) and check your balance",https://www.usa.gov/food-stamps,Home,"Government benefits","Food assistance","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)",/,/benefits,/food-help,/food-stamps,/food-stamps,/food-stamps,https://www.usa.gov/es/solicitar-cupones-alimentos-snap,1,"USAGov English","Children and families; Food"
2,"Navigation Cards Page",/health,88,Health,https://www.usa.gov/health,Home,Health,Health,Health,Health,Health,/,/health,/health,/health,/health,/health,https://www.usa.gov/es/salud,,"USAGov English"
3,"Navigation Page",/health-insurance,89,"Health insurance",https://www.usa.gov/health-insurance,Home,Health,"Health insurance","Health insurance","Health insurance","Health insurance",/,/health,/health-insurance,/health-insurance,/health-insurance,/health-insurance,https://www.usa.gov/es/seguros-medicos,,"USAGov English"
4,"Content Page",/cobra-health-insurance,90,"Learn about COBRA insurance and how to get coverage",https://www.usa.gov/cobra-health-insurance,Home,Health,"Health insurance","COBRA insurance","COBRA insurance","COBRA insurance",/,/health,/health-insurance,/cobra-health-insurance,/cobra-health-insurance,/cobra-health-insurance,https://www.usa.gov/es/continuacion-seguro-medico-cobra,1,"USAGov English","Children and families; Death; Health; Jobs and unemployment"
4,"Content Page",/health-insurance-marketplace,91,"How to get insurance through the ACA Health Insurance Marketplace",https://www.usa.gov/health-insurance-marketplace,Home,Health,"Health insurance","Health Insurance Marketplace","Health Insurance Marketplace","Health Insurance Marketplace",/,/health,/health-insurance,/health-insurance-marketplace,/health-insurance-marketplace,/health-insurance-marketplace,https://www.usa.gov/es/salud-mercado-seguros-medicos-aca,1,"USAGov English","Children and families; Health"
4,"Content Page",/medicaid-chip-insurance,92,"How to apply for Medicaid and CHIP",https://www.usa.gov/medicaid-chip-insurance,Home,Health,"Health insurance","Medicaid and CHIP","Medicaid and CHIP","Medicaid and CHIP",/,/health,/health-insurance,/medicaid-chip-insurance,/medicaid-chip-insurance,/medicaid-chip-insurance,https://www.usa.gov/es/seguros-medicos-medicaid-chip,1,"USAGov English","Children and families; Disabilities; Health"
4,"Content Page",/medicare,93,"How and when to apply for Medicare",https://www.usa.gov/medicare,Home,Health,"Health insurance",Medicare,Medicare,Medicare,/,/health,/health-insurance,/medicare,/medicare,/medicare,https://www.usa.gov/es/seguros-medicos-medicare,1,"USAGov English","Disabilities; Health; Retirement and seniors"
3,"Content Page",/health-information,94,"Get reliable health information from MedlinePlus",https://www.usa.gov/health-information,Home,Health,"Health information from MedlinePlus","Health information from MedlinePlus","Health information from MedlinePlus","Health information from MedlinePlus",/,/health,/health-information,/health-information,/health-information,/health-information,https://www.usa.gov/es/informacion-confiable-salud,,"USAGov English"
3,"Content Page",/help-with-medical-bills,95,"How to get help with medical bills",https://www.usa.gov/help-with-medical-bills,Home,Health,"Help with medical expenses","Help with medical expenses","Help with medical expenses","Help with medical expenses",/,/health,/help-with-medical-bills,/help-with-medical-bills,/help-with-medical-bills,/help-with-medical-bills,https://www.usa.gov/es/ayuda-gastos-medicos,1,"USAGov English","Children and families; Disabilities; Health; Retirement and seniors"
3,"Content Page",/substance-abuse,96,"Find help for substance abuse",https://www.usa.gov/substance-abuse,Home,Health,"Substance abuse","Substance abuse","Substance abuse","Substance abuse",/,/health,/substance-abuse,/substance-abuse,/substance-abuse,/substance-abuse,https://www.usa.gov/es/ayuda-abuso-alcohol-drogas,1,"USAGov English","Children and families; Health; Retirement and seniors"
4,"Content Page",/school-meals,97,"School meals and food programs for children",https://www.usa.gov/school-meals,Home,"Government benefits","Food assistance","School meals and food programs for children","School meals and food programs for children","School meals and food programs for children",/,/benefits,/food-help,/school-meals,/school-meals,/school-meals,https://www.usa.gov/es/comida-gratis-en-escuela,1,"USAGov English","Children and families; Food"
4,"Content Page",/senior-food-programs,98,"Food assistance programs for older adults",https://www.usa.gov/senior-food-programs,Home,"Government benefits","Food assistance","Food assistance programs for older adults","Food assistance programs for older adults","Food assistance programs for older adults",/,/benefits,/food-help,/senior-food-programs,/senior-food-programs,/senior-food-programs,https://www.usa.gov/es/programas-alimentos-adultos-mayores,1,"USAGov English","Food; Retirement and seniors"
4,"Content Page",/native-american-food-programs,99,"Food assistance for Native Americans",https://www.usa.gov/native-american-food-programs,Home,"Government benefits","Food assistance","Food assistance for Native Americans","Food assistance for Native Americans","Food assistance for Native Americans",/,/benefits,/food-help,/native-american-food-programs,/native-american-food-programs,/native-american-food-programs,None,1,"USAGov English",Food
4,"Content Page",/emergency-food-assistance,100,"How to get emergency food assistance",https://www.usa.gov/emergency-food-assistance,Home,"Government benefits","Food assistance","Get emergency food assistance","Get emergency food assistance","Get emergency food assistance",/,/benefits,/food-help,/emergency-food-assistance,/emergency-food-assistance,/emergency-food-assistance,https://www.usa.gov/es/conseguir-alimentos-emergencia,1,"USAGov English",Food
4,"Content Page",/help-with-energy-bills,101,"Get help with energy bills",https://www.usa.gov/help-with-energy-bills,Home,"Government benefits","Help with utility bills","Help with energy bills","Help with energy bills","Help with energy bills",/,/benefits,/help-with-utility-bills,/help-with-energy-bills,/help-with-energy-bills,/help-with-energy-bills,https://www.usa.gov/es/ayuda-pagar-luz-gas,1,"USAGov English","Housing and utilities; Welfare and cash assistance"
4,"Content Page",/help-with-phone-internet-bills,102,"Get help paying for phone and internet service",https://www.usa.gov/help-with-phone-internet-bills,Home,"Government benefits","Help with utility bills","Help paying for phone and internet service","Help paying for phone and internet service","Help paying for phone and internet service",/,/benefits,/help-with-utility-bills,/help-with-phone-internet-bills,/help-with-phone-internet-bills,/help-with-phone-internet-bills,https://www.usa.gov/es/ayuda-pagar-telefono-internet,1,"USAGov English","Housing and utilities; Welfare and cash assistance"
3,"Navigation Page",/help-with-utility-bills,103,"Help with utility bills",https://www.usa.gov/help-with-utility-bills,Home,"Government benefits","Help with utility bills","Help with utility bills","Help with utility bills","Help with utility bills",/,/benefits,/help-with-utility-bills,/help-with-utility-bills,/help-with-utility-bills,/help-with-utility-bills,https://www.usa.gov/es/ayuda-pagar-facturas,,"USAGov English"
4,"Content Page",/what-is-social-security,104,"Social Security benefits and how to apply",https://www.usa.gov/what-is-social-security,Home,"Government benefits","Social Security","Social Security benefits and how to apply","Social Security benefits and how to apply","Social Security benefits and how to apply",/,/benefits,/social-security,/what-is-social-security,/what-is-social-security,/what-is-social-security,https://www.usa.gov/es/que-es-el-seguro-social,1,"USAGov English","Disabilities; Retirement and seniors; Welfare and cash assistance"
4,"Content Page",/social-security-calculators,105,"Use Social Security retirement calculators to estimate your benefits",https://www.usa.gov/social-security-calculators,Home,"Government benefits","Social Security","Social Security retirement calculators","Social Security retirement calculators","Social Security retirement calculators",/,/benefits,/social-security,/social-security-calculators,/social-security-calculators,/social-security-calculators,https://www.usa.gov/es/beneficios-jubilacion-seguro-social,,"USAGov English"
4,"Content Page",/social-security-report-a-death,106,"Report the death of a Social Security or Medicare beneficiary",https://www.usa.gov/social-security-report-a-death,Home,"Government benefits","Social Security","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary",/,/benefits,/social-security,/social-security-report-a-death,/social-security-report-a-death,/social-security-report-a-death,https://www.usa.gov/es/reportar-muerte-al-seguro-social,,"USAGov English"
